0
Fullmetal Alchemist: Brotherhood sube un lugar.
Steins;Gate sube 2 lugares.
Hunter x Hunter (2011) sube 4 lugares.
Kimi no Na wa. baja 3 lugares.
Clannad: After Story sube 6 lugares.
Code Geass: Hangyaku no Lelouch R2 sube 8 lugares.
Gintama sube 6 lugares.
Sen to Chihiro no Kamikakushi sube 8 lugares.
Shigatsu wa Kimi no Uso sube 8 lugares.
Code Geass: Hangyaku no Lelouch sube 12 lugares.
Gintama&#039; baja 6 lugares.
One Punch Man sube 12 lugares.
Cowboy Bebop sube 10 lugares.
Gintama° baja 11 lugares.
Tengen Toppa Gurren Lagann sube 15 lugares.
Death Note sube 22 lugares.
Mononoke Hime sube 8 lugares.
Haikyuu!! Second Season baja 3 lugares.
Ookami Kodomo no Ame to Yuki se queda en el mismo lugar.
Mushishi sube 9 lugares.
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou baja 15 lugares.
Suzumiya Haruhi no Shoushitsu sube 4 lugares.
Howl no Ugoku Shiro sube 11 lugares.
Great Teacher Onizuka sube 7 lugares.
Koe no Katachi baja 13 lugares.
Fate/Zero 2nd Season sube 9 lugares.
Monogatari Series: Second Season se queda en el mismo lugar.
Gintama&#039;: Enchousen baja 19 lugares.
Ginga Eiyuu Densetsu baja 21 lugares.
Hajime no Ippo baja 9 lugares.
Monster sube 5 lugares.
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare baja 22 lugares.
Boku dake ga Inai Machi sube 12 lugares.
Haikyuu!! sube 7 lugares.
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen baja 15 lugares.
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. sube 15 lugares.
Re:Zero kara Hajimeru Isekai Seikatsu sube 12 lugares.
Shokugeki no Souma sube 17 lugares.
One Piece sube 26 lugares.
Kiseijuu: Sei no Kakuritsu sube 20 lugares.
Ansatsu Kyoushitsu (TV) 2nd Season sube un lugar.
Mushishi Zoku Shou baja 14 lugares.
Shingeki no Kyojin sube 31 lugares.
Mushishi Zoku Shou 2nd Season baja 26 lugares.
Bakuman. 3rd Season baja 8 lugares.
Hellsing Ultimate sube 15 lugares.
Natsume Yuujinchou Shi baja 14 lugares.
Kuroko no Basket 3rd Season sube 4 lugares.
Hotarubi no Mori e sube 5 lugares.
Steins;Gate Movie: Fuka Ryouiki no Déjà vu sube 3 lugares.
Hajime no Ippo: New Challenger baja 19 lugares.
Kuroko no Basket 2nd Season sube 12 lugares.
Rainbow: Nisha Rokubou no Shichinin baja 3 lugares.
Baccano! sube 19 lugares.
Kara no Kyoukai 5: Mujun Rasen baja 16 lugares.
Yojouhan Shinwa Taikei baja 10 lugares.
Natsume Yuujinchou San baja 14 lugares.
Mahou Shoujo Madoka★Magica sube 22 lugares.
Fate/Zero sube 23 lugares.
Hotaru no Haka sube 3 lugares.
Zoku Natsume Yuujinchou baja 13 lugares.
Ping Pong The Animation baja 18 lugares.
Shinsekai yori sube 14 lugares.
Psycho-Pass sube 19 lugares.
Usagi Drop sube 4 lugares.
Nana sube 6 lugares.
Mob Psycho 100 sube 4 lugares.
Samurai Champloo sube 19 lugares.
Nichijou sube 10 lugares.
Yuri!!! on Ice baja 14 lugares.
